hdi_rank,country,2008,2009,2010,2011,2012,2013,2014,2015,2016
66, Panama,"0,524305556","0,525","0,526388889","0,530555556","0,535416667","0,538888889","0,542361111","0,542361111","0,545138889"
153, Papua New Guinea,"0,349305556","0,354166667","0,361111111","0,367361111","0,368055556","0,370833333","0,372222222","0,376388889","0,377083333"
110, Paraguay,"0,461111111","0,457638889","0,46875","0,472222222","0,472222222","0,482638889","0,484722222","0,4875","0,4875"
89, Peru,"0,494444444","0,496527778","0,497916667","0,50625","0,50625","0,511111111","0,518055556","0,517361111","0,519444444"
113, Philippines,"0,459027778","0,457638889","0,461805556","0,465277778","0,470138889","0,475694444","0,478472222","0,48125","0,483333333"
33, Poland,"0,572222222","0,575","0,579861111","0,582638889","0,580555556","0,590277778","0,584722222","0,59375","0,597222222"
41, Portugal,"0,565277778","0,567361111","0,570833333","0,573611111","0,575694444","0,58125","0,582638889","0,584722222","0,586805556"
37, Qatar,"0,579861111","0,578472222","0,572916667","0,580555556","0,586111111","0,593055556","0,592361111","0,593055556","0,59375"
52, Romania,"0,552083333","0,554166667","0,553472222","0,554166667","0,552083333","0,555555556","0,556944444","0,559027778","0,560416667"
49, Russian Federation,"0,5375","0,535416667","0,541666667","0,547916667","0,554166667","0,558333333","0,560416667","0,564583333","0,565972222"
158, Rwanda,"0,315972222","0,326388889","0,336805556","0,342361111","0,347222222","0,349305556","0,353472222","0,354166667","0,361111111"
72, Saint Kitts and Nevis,"0,5125","0,513888889","0,517361111","0,521527778","0,525","0,529861111","0,534722222","0,536805556","0,5375"
90, Saint Lucia,"0,499305556","0,502777778","0,507638889","0,509722222","0,506944444","0,509027778","0,511805556","0,516666667","0,517361111"
99, Saint Vincent and the Grenadines,"0,493055556","0,495138889","0,496527778","0,497916667","0,498611111","0,500694444","0,5","0,5","0,500694444"
104, Samoa,"0,475694444","0,477083333","0,48125","0,484027778","0,484027778","0,486111111","0,488194444","0,490277778","0,49375"
143, Sao Tome and Principe,"0,368055556","0,373611111","0,376388889","0,380555556","0,382638889","0,388888889","0,39375","0,402777778","0,405555556"
39, Saudi Arabia,"0,549305556","0,552777778","0,561111111","0,571527778","0,579861111","0,586111111","0,591666667","0,593055556","0,593055556"
164, Senegal,"0,309027778","0,311805556","0,316666667","0,324305556","0,330555556","0,334027778","0,3375","0,341666667","0,346527778"
67, Serbia,"0,525694444","0,527083333","0,527083333","0,534027778","0,533333333","0,535416667","0,538194444","0,541666667","0,545138889"
62, Seychelles,"0,514583333","0,514583333","0,51875","0,514583333","0,534722222","0,540972222","0,545833333","0,549305556","0,550694444"
184, Sierra Leone,"0,259027778","0,264583333","0,267361111","0,272222222","0,282638889","0,290972222","0,29375","0,286805556","0,286805556"
9, Singapore,"0,613194444","0,613888889","0,63125","0,634722222","0,638888889","0,640972222","0,644444444","0,645138889","0,645833333"
38, Slovakia,"0,570833333","0,572222222","0,575694444","0,58125","0,584722222","0,586111111","0,586805556","0,590972222","0,592361111"
25, Slovenia,"0,609722222","0,609722222","0,6125","0,613888889","0,609027778","0,614583333","0,615972222","0,617361111","0,620833333"
152, Solomon Islands,"0,35","0,345138889","0,352083333","0,356944444","0,367361111","0,374305556","0,374305556","0,379166667","0,377083333"
113, South Africa,"0,439583333","0,445833333","0,450694444","0,45625","0,461111111","0,46875","0,475694444","0,480555556","0,483333333"
187, South Sudan,,,"0,286805556","0,288888889","0,269444444","0,272222222","0,275694444","0,277083333","0,273611111"
26, Spain,"0,594444444","0,595833333","0,600694444","0,604166667","0,60625","0,607638889","0,611111111","0,614583333","0,617361111"
76, Sri Lanka,"0,5125","0,513888889","0,517361111","0,521527778","0,525694444","0,527083333","0,529861111","0,531944444","0,533333333"
167, Sudan,"0,321527778","0,325","0,326388889","0,329166667","0,336805556","0,329861111","0,341666667","0,345138889","0,346527778"
100, Suriname,"0,479861111","0,470138889","0,488194444","0,490277778","0,49375","0,496527778","0,498611111","0,501388889","0,499305556"
7, Sweden,"0,625694444","0,624305556","0,628472222","0,629166667","0,630555556","0,633333333","0,638888889","0,645138889","0,647222222"
2, Switzerland,"0,636805556","0,64375","0,647222222","0,647222222","0,649305556","0,651388889","0,652083333","0,654166667","0,654861111"
155, Syrian Arab Republic,"0,448611111","0,45","0,447222222","0,445833333","0,438194444","0,397222222","0,381944444","0,373611111","0,372222222"
127, Tajikistan,"0,429166667","0,430555556","0,440277778","0,442361111","0,445833333","0,448611111","0,447916667","0,447916667","0,449305556"
154, Tanzania (United Republic of),"0,33125","0,3375","0,342361111","0,346527778","0,351388889","0,352083333","0,357638889","0,366666667","0,370138889"
83, Thailand,"0,495833333","0,498611111","0,502777778","0,504861111","0,507638889","0,505555556","0,510416667","0,514583333","0,519444444"
80, The former Yugoslav Republic of Macedonia,"0,505555556","0,507638889","0,510416667","0,5125","0,513888889","0,515972222","0,51875","0,523611111","0,525"
132, Timor-Leste,"0,415972222","0,423611111","0,429861111","0,433333333","0,415972222","0,426388889","0,423611111","0,4375","0,438194444"
165, Togo,"0,305555556","0,311805556","0,316666667","0,321527778","0,323611111","0,327777778","0,334027778","0,34375","0,347222222"
98, Tonga,"0,4875","0,490277778","0,494444444","0,497222222","0,497916667","0,497222222","0,497916667","0,500694444","0,502777778"
69, Trinidad and Tobago,"0,536805556","0,536111111","0,538194444","0,536805556","0,5375","0,540972222","0,540972222","0,54375","0,545138889"
95, Tunisia,"0,490972222","0,493055556","0,497222222","0,498611111","0,499305556","0,502083333","0,503472222","0,505555556","0,508333333"
64, Turkey,"0,493055556","0,498611111","0,509722222","0,522916667","0,527777778","0,535416667","0,540277778","0,54375","0,546527778"
108, Turkmenistan,,,"0,467361111","0,472222222","0,476388889","0,480555556","0,484027778","0,486805556","0,489583333"
162, Uganda,"0,326388889","0,33125","0,3375","0,340277778","0,341666667","0,344444444","0,347222222","0,350694444","0,352777778"
88, Ukraine,"0,509027778","0,504861111","0,509027778","0,5125","0,515972222","0,517361111","0,519444444","0,515972222","0,518055556"
34, United Arab Emirates,"0,581944444","0,579861111","0,580555556","0,584027778","0,5875","0,590972222","0,59375","0,597222222","0,598611111"
14, United Kingdom,"0,622222222","0,624305556","0,628472222","0,624305556","0,623611111","0,635416667","0,638194444","0,6375","0,638888889"
13, United States,"0,631944444","0,631944444","0,634722222","0,636805556","0,6375","0,636111111","0,6375","0,638888889","0,640277778"
55, Uruguay,"0,531944444","0,540277778","0,536805556","0,543055556","0,548611111","0,553472222","0,55625","0,555555556","0,556944444"
105, Uzbekistan,"0,453472222","0,457638889","0,4625","0,468055556","0,474305556","0,479166667","0,482638889","0,484722222","0,488194444"
138, Vanuatu,"0,409027778","0,409722222","0,410416667","0,411111111","0,411111111","0,414583333","0,415277778","0,415972222","0,416666667"
78, Venezuela (Bolivarian Republic of),"0,522916667","0,522916667","0,527083333","0,535416667","0,5375","0,538888889","0,540277778","0,538194444","0,531944444"
116, Viet Nam,"0,444444444","0,455555556","0,454166667","0,461111111","0,465277778","0,46875","0,470833333","0,475","0,478472222"
178, Yemen,"0,336805556","0,340972222","0,345833333","0,346527778","0,350694444","0,352083333","0,350694444","0,335416667","0,320833333"
144, Zambia,"0,359027778","0,370138889","0,377777778","0,386111111","0,395138889","0,398611111","0,402777778","0,404861111","0,406944444"
156, Zimbabwe,"0,304861111","0,3125","0,324305556","0,331944444","0,350694444","0,358333333","0,364583333","0,367361111","0,369444444"
